City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,guerrero negro,27.9769,-114.0611,20.1,79,0,3.3,MX,1696486077
84,georgetown,5.4112,100.3354,31.77,96,40,1.54,MY,1696486077
85,colonia,50.9333,6.95,13.87,80,0,3.09,DE,1696485947
86,tazovsky,67.4667,78.7,1.89,85,83,2.53,RU,1696486078
87,villa union,23.2,-106.2333,27.17,89,75,0.0,MX,1696486078
88,kavieng,-2.5744,150.7967,28.46,77,95,5.58,PG,1696486078
89,tomatlan,19.9333,-105.25,24.43,95,87,1.75,MX,1696486078
90,san salvador,13.6894,-89.1872,22.15,100,86,0.77,SV,1696486079
91,margaret river,-33.95,115.0667,20.11,59,30,5.14,AU,1696485788
92,isafjordur,66.0755,-23.124,2.45,90,100,7.41,IS,1696486079
93,inhambane,-23.865,35.3833,23.99,64,20,4.12,MZ,1696486079
94,adamstown,-25.066,-130.1015,20.62,76,100,7.29,PN,1696486080
95,ambatondrazaka,-17.8333,48.4167,19.02,79,100,2.83,MG,1696486080
96,i-n-salah,27.1935,2.4607,25.18,26,0,9.03,DZ,1696485952
97,athens,37.9795,23.7162,21.43,64,20,2.06,GR,1696485787
98,fort st. john,56.2499,-120.8529,3.32,45,100,1.37,CA,1696486080
99,arteche,12.2645,125.4048,29.24,77,28,1.94,PH,1696486081
100,bend,44.0582,-121.3153,15.4,63,0,2.06,US,1696486069
101,uturoa,-16.7333,-151.4333,26.18,77,4,9.26,PF,1696486081
102,fort morgan,40.2503,-103.8,14.36,47,6,6.69,US,1696486081
103,iskateley,67.6803,53.1512,3.9,78,100,9.39,RU,1696486081
104,salinopolis,-0.6136,-47.3561,26.12,79,16,5.34,BR,1696486082
105,yigo village,13.5361,144.8886,25.62,89,100,6.69,GU,1696486082
106,ulladulla,-35.35,150.4667,17.09,34,24,5.98,AU,1696486082
107,jamestown,42.097,-79.2353,20.77,88,0,2.06,US,1696485831
108,ushuaia,-54.8,-68.3,4.12,93,100,4.47,AR,1696486083
109,rach gia,10.0167,105.0833,29.61,75,72,6.26,VN,1696486083
110,faya-largeau,17.9257,19.1043,29.02,29,58,10.38,TD,1696486083
111,vila velha,-20.3297,-40.2925,24.97,86,20,6.69,BR,1696486083
112,betio village,1.358,172.9211,28.96,69,100,0.18,KI,1696486084
113,ujae,8.9322,165.7642,28.56,79,100,6.55,MH,1696486084
114,bilibino,68.0546,166.4372,-13.36,91,6,1.96,RU,1696486084
115,malango,-2.9627,119.9001,30.34,45,14,2.84,ID,1696486084
116,tsagan aman,47.5639,46.7218,17.33,47,0,2.81,RU,1696486085
117,rubtsovsk,51.5,81.25,14.04,52,100,2.88,RU,1696486085
118,baardheere,2.3446,42.2764,26.08,68,93,6.63,SO,1696486085
119,aasiaat,68.7098,-52.8699,-7.51,80,87,3.97,GL,1696486085
120,qaqortoq,60.7167,-46.0333,1.32,57,11,2.16,GL,1696486086
121,olonkinbyen,70.9221,-8.7187,0.15,65,98,8.25,SJ,1696486086
122,boende,-0.2167,20.8667,22.38,97,96,0.78,CD,1696486086
123,kulu,39.0951,33.0799,14.18,49,0,2.57,TR,1696486086
124,laojunmiao,39.8333,97.7333,13.24,50,100,2.45,CN,1696486087
125,lepsy,46.235,78.9456,19.03,34,3,4.17,KZ,1696486087
126,north bay,46.3168,-79.4663,21.17,76,0,4.12,CA,1696485960
127,haenam,34.5711,126.5989,18.43,44,27,8.97,KR,1696486087
128,talnakh,69.4865,88.3972,-1.96,93,94,2.85,RU,1696486088
129,knottsville,37.7717,-86.9042,20.42,57,100,2.27,US,1696486088
130,bastad,56.4269,12.8534,13.31,88,40,11.32,SE,1696486088
131,bethel,41.3712,-73.414,17.62,88,0,0.67,US,1696486088
132,vadso,70.0744,29.7487,4.09,75,40,10.8,NO,1696486089
133,vila franca do campo,37.7167,-25.4333,22.23,93,73,6.41,PT,1696486089
134,ribeira grande,38.5167,-28.7,22.65,94,100,8.94,PT,1696486089
135,novyy urengoy,66.0833,76.6333,2.86,93,100,3.72,RU,1696486089
136,hammerfest,70.6634,23.6821,3.25,81,75,6.17,NO,1696486090
137,carnarvon,-24.8667,113.6333,24.65,47,0,6.45,AU,1696486090
138,tianpeng,30.9866,103.9393,20.26,76,100,1.27,CN,1696485936
139,sola,-13.8833,167.55,25.66,76,92,11.05,VU,1696486090
140,hithadhoo,-0.6,73.0833,27.73,76,58,4.26,MV,1696486091
141,tual,-5.6667,132.75,26.55,81,88,6.44,ID,1696486091
142,gumla,23.05,84.55,28.86,68,82,3.57,IN,1696486091
143,ceelbuur,4.685,46.6176,28.18,67,75,6.66,SO,1696486091
144,qianzhou,28.3167,109.7167,18.31,89,100,2.47,CN,1696486092
145,schweizer-reneke,-27.1887,25.3293,24.34,17,16,6.58,ZA,1696486092
146,bubaque,11.2833,-15.8333,27.83,79,100,7.01,GW,1696486092
147,roma,43.2128,-75.4557,19.42,93,0,0.0,US,1696485918
148,pizarro,4.9533,-77.366,24.56,89,98,0.39,CO,1696486093
149,huanggang,23.677,116.9996,28.01,71,100,3.53,CN,1696486093
150,alofi,-19.0595,-169.9187,21.41,73,100,5.63,NU,1696486093
151,hermanus,-34.4187,19.2345,16.07,88,100,0.77,ZA,1696486093
152,merrill,45.1805,-89.6835,13.1,89,0,1.54,US,1696486094
153,portland,45.5234,-122.6762,16.45,91,20,0.45,US,1696486006
154,solnechnyy,50.7214,136.6319,6.13,95,100,4.13,RU,1696486094
155,dera bugti,29.0307,69.151,35.32,14,0,3.49,PK,1696486094
156,egilsstadir,65.2653,-14.3948,0.95,100,75,1.54,IS,1696486095
157,vorgashor,67.5833,63.95,3.96,94,100,7.48,RU,1696485976
158,severo-yeniseyskiy,60.3725,93.0408,3.65,97,100,4.92,RU,1696486095
159,myeik,12.4333,98.6,27.41,87,89,4.12,MM,1696486095
160,kyshtovka,56.555,76.6271,15.19,59,100,5.36,RU,1696486096
161,nemuro,43.3236,145.575,16.54,92,100,11.99,JP,1696486096
162,nogliki,51.8333,143.1667,7.97,86,100,3.58,RU,1696486096
163,tiksi,71.6872,128.8694,-2.83,84,96,2.67,RU,1696486096
164,zeya,53.75,127.2667,7.72,36,18,3.13,RU,1696486096
165,celestun,20.8667,-90.4,26.96,84,27,5.63,MX,1696486097
166,anadyr,64.75,177.4833,1.28,86,75,4.0,RU,1696486097
167,nishinoomote,30.7333,131.0,25.41,65,78,9.15,JP,1696486097
168,longyearbyen,78.2186,15.6401,-2.09,64,20,1.54,SJ,1696486097
169,vrangel',42.7297,133.0839,12.07,58,55,9.53,RU,1696486098
170,bay roberts,47.5999,-53.2648,7.96,89,84,0.45,CA,1696486098
171,quatre cocos,-20.2078,57.7625,25.05,66,90,6.21,MU,1696486098
172,punta arenas,-53.15,-70.9167,9.06,57,40,10.29,CL,1696486098
173,keflavik,64.0049,-22.5624,5.24,87,100,7.72,IS,1696486098
174,tarauaca,-8.1614,-70.7656,24.77,64,72,0.36,BR,1696485900
175,barra de santo antonio,-9.4047,-35.5072,20.6,70,80,4.05,BR,1696485800
176,kedrovyy,56.1667,91.8167,13.26,51,100,3.7,RU,1696485976
177,margate,51.3813,1.3862,12.95,81,100,1.34,GB,1696486099
178,udachny,66.4167,112.4,0.25,63,55,8.25,RU,1696486100
179,manokwari,-0.8667,134.0833,27.98,77,90,1.34,ID,1696486100
180,alice springs,-23.7,133.8833,24.75,15,0,7.2,AU,1696486100
181,al bardiyah,31.7561,25.0865,22.85,71,15,2.92,LY,1696486100
182,st. john's,47.5649,-52.7093,7.76,82,40,6.69,CA,1696485909
183,puerto leguizamo,-0.1934,-74.7819,24.1,83,98,1.56,CO,1696486101
184,marcali,46.585,17.412,8.93,77,86,0.78,HU,1696486101
185,balsas,-7.5325,-46.0356,27.23,52,75,0.75,BR,1696486101
186,rizokarpaso,35.6,34.375,24.94,51,80,2.42,CY,1696486102
187,ciudad gustavo diaz ordaz,26.2333,-98.5833,29.45,84,47,0.45,MX,1696486102
188,mar del plata,-38.0023,-57.5575,7.27,86,0,2.68,AR,1696486102
189,new norfolk,-42.7826,147.0587,14.72,86,92,1.64,AU,1696486102
190,tura,25.5198,90.2201,22.6,99,100,2.31,IN,1696486102
191,turpan,42.9333,89.1667,27.7,23,12,1.52,CN,1696486103
192,dalnegorsk,44.5604,135.5701,8.67,85,95,5.81,RU,1696486103
193,taupo,-38.6833,176.0833,16.25,66,77,0.55,NZ,1696486003
194,happy valley-goose bay,53.3168,-60.3315,5.61,65,97,1.9,CA,1696486103
195,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,75,75,4.02,RU,1696486104
196,samus',56.7475,84.6992,14.44,46,97,4.47,RU,1696486104
197,ancud,-41.8697,-73.8203,6.19,93,31,1.23,CL,1696486104
198,ouani,-12.1322,44.4258,26.97,72,31,2.9,KM,1696486104
199,vegueta,-11.0231,-77.6431,18.45,93,79,3.26,PE,1696486105
200,vilyuchinsk,52.9306,158.4028,10.15,86,100,1.25,RU,1696486105
201,sao joao da barra,-21.6403,-41.0511,23.12,90,75,8.87,BR,1696486105
202,ngunut,-8.1058,112.0159,32.67,48,35,6.62,ID,1696486105
203,brookings,44.3114,-96.7984,14.54,69,100,4.63,US,1696485914
204,ternate,0.8,127.4,28.53,74,88,5.37,ID,1696486106
205,yarmouth,41.7057,-70.2286,18.03,96,100,1.54,US,1696486106
206,aral,40.5156,81.2636,24.49,18,83,0.63,CN,1696486107
207,dudinka,69.4058,86.1778,-2.4,90,96,2.24,RU,1696485967
208,santa terezinha,-29.9002,-50.0904,15.23,91,98,4.0,BR,1696486107
209,shingu,33.7333,135.9833,23.08,53,68,5.68,JP,1696486107
210,saldanha,-33.0117,17.9442,16.17,89,100,1.65,ZA,1696486107
211,saint-georges,12.0564,-61.7485,28.21,80,83,4.03,GD,1696486108
